Global X Robotics & Artificial Intelligence ETF
Fund Holdings Data as of 06/10/2026
% of Net Assets,Ticker,Name,SEDOL,Market Price ($),Shares Held,Market Value ($)
0.43,WRD,WERIDE INC-ADR,BMYDW80,6.1,"2,437,972.00","14,871,629.20"
0.41,2498 HK,ROBOSENSE TECHNOLOGY CO LTD,BNG5JM4,3.817738704277914,"3,644,300.00","13,912,985.16"
0.38,OMCL,OMNICELL INC,2789523,38.18,"341,745.00","13,047,824.10"
0.36,PRCT,PROCEPT BIOROBOTICS CORP,BMYRFV6,29.09,"424,158.00","12,338,756.22"
0.31,"",OTHER PAYABLE & RECEIVABLES,"",1.0,"10,727,322.23","10,727,322.23"
0.31,2432 HK,SHENZHEN DOBOT CORP LTD-H,BTDQ4G1,3.62634137627715,"2,955,800.00","10,718,739.84"
0.31,EXA FP,EXAIL TECHNOLOGIES,B06BGH5,137.2442555539686,"77,017.00","10,570,140.83"
0.29,688165 C1,EFORT INTELLIGENT ROBOT CO-A,BPDWRG2,2.96664552347147,"3,368,302.00","9,992,558.05"
0.22,APPN,APPIAN CORP-A,BYPBTB9,23.44,"322,485.00","7,559,048.40"
"The information contained herein may not be reproduced, redistributed or used to create any derivative works."
